Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0025264,-0.066047,0.0019598,0,0,0,0.14143,0.00012281,2.1711E-06,1.7709E-06,8.3831E-05,-1.655E-06,7.6663E-05,0,0,0,0,0,0,package://handright9253/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/base_link.STL,,R01.STEP-2;R21.STEP-1;R02.STEP-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0017767,-0.028542,-2.2389E-07,0,0,0,0.0069755,1.9937E-06,-5.5868E-08,3.3807E-12,1.4796E-07,-3.524E-11,2.0272E-06,0,0,0,0,0,0,package://handright9253/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link1.STL,,R03.STEP-6,坐标系1,基准轴1,joint01,revolute,0.00629,-0.056236,-0.02346,0.034907,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,1.1919E-10,2.6582E-10,-0.011292,0,0,0,0.00030666,1.4483E-08,1.1362E-15,3.7408E-16,1.4449E-08,7.0638E-16,6.5358E-10,0,0,0,0,0,0,package://handright9253/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link2.STL,,R04.STEP-6,坐标系2,基准轴2,joint12,prismatic,-0.0011031,-0.050688,0,1.549,1.5708,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,0.0030737,0.017402,0.00090008,0,0,0,0.0042403,6.6212E-07,1.846E-08,1.825E-12,2.1167E-07,5.1726E-12,6.9398E-07,0,0,0,0,0,0,package://handright9253/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link3.STL,,R05.STEP-6,坐标系3,基准轴3,joint23,revolute,0.0009,0,-0.0244,-1.5708,0.021758,1.5708,Link2,0,0,-1,0,0,0,0,,,,,,,,
Link4,-0.0021753,0.019568,0.00305,0,0,0,0.0045683,7.6288E-07,-8.0636E-08,-4.1524E-13,9.4309E-08,-1.2132E-12,7.8179E-07,0,0,0,0,0,0,package://handright9253/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link4.STL,,R07.STEP-2,坐标系4,基准轴4,joint34,revolute,0.0067937,0.037509,-0.00215,0,0,0,Link3,0,0,1,0,0,0,0,,,,,,,,
Link310,-0.001297,0.011934,0.0040001,0,0,0,0.0042403,6.6212E-07,1.846E-08,1.825E-12,2.1167E-07,5.1726E-12,6.9398E-07,0,0,0,0,0,0,package://handright9253/meshes/Link310.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link310.STL,,R05.STEP-6,坐标系5,基准轴5,joint03,revolute,0.00028533,-0.1366,-0.030269,-0.034907,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
Link5,-0.0039265,0.015726,0.004,0,0,0,0.00031561,4.8649E-08,1.1992E-08,2.5849E-23,3.789E-09,-1.068E-22,5.1996E-08,0,0,0,0,0,0,package://handright9253/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link5.STL,,R06.STEP-5,坐标系6,基准轴6,joint05,revolute,-0.00546,-0.13178,-0.030101,-0.034907,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
Link410,0.0024585,0.024815,0.00305,0,0,0,0.0045683,7.6288E-07,-8.0636E-08,-4.1524E-13,9.4309E-08,-1.2132E-12,7.8179E-07,0,0,0,0,0,0,package://handright9253/meshes/Link410.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link410.STL,,R07.STEP-2,坐标系7,基准轴7,joint54,revolute,-0.0079562,0.031614,0.00095,0,0,0,Link5,0,0,1,0,0,0,0,,,,,,,,
Link11,-0.0017767,-0.028542,-2.303E-07,0,0,0,0.0069755,1.9937E-06,-5.5869E-08,3.0637E-12,1.4796E-07,-3.5748E-11,2.0272E-06,0,0,0,0,0,0,package://handright9253/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link11.STL,,R03.STEP-5,坐标系11,基准轴11,joint011,revolute,0.00629,-0.05655,-0.00695,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link12,-0.018674,6.5223E-06,-0.010992,0,0,0,0.00030666,1.4466E-08,-1.8286E-14,-4.8224E-10,1.4449E-08,1.8406E-13,6.7042E-10,0,0,0,0,0,0,package://handright9253/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://handright9253/meshes/Link12.STL,,R04.STEP-7,坐标系2,基准轴2,joint1112,prismatic,-0.0011031,-0.050343,-0.018279,0.021758,1.5359,1.5708,Link11,0,0,-1,0,0,0,0,,,,,,,,
